model,event_id,market_id,model_prob_yes,yes_ask,no_ask,outcome,platform
Gemini 3.1 Pro (Variant B),E1391,M02485,0.13,13.0,88.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0846,M01523,0.99,95.6,1.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0846,M01524,0.01,1.0,95.6,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0847,M01525,0.99,97.5,31.879999999999995,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0847,M01526,0.01,31.879999999999995,97.5,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0848,M01527,0.11,13.33,88.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0848,M01528,0.89,88.0,13.33,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1505,M02689,0.001,0.2,99.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1505,M02690,0.999,99.9,0.2,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1506,M02691,0.02,3.01,97.6,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0881,M01582,0.73,48.0,56.00000000000001,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0849,M01529,0.41,50.0,51.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0849,M01530,0.5900000000000001,51.0,50.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0850,M01531,0.99,99.0,2.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0850,M01532,0.01,2.0,99.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1615,M02907,0.27,86.0,15.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1615,M02908,0.73,15.0,86.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0882,M01583,0.88,56.00000000000001,52.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0882,M01584,0.78,41.0,67.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0882,M01585,0.66,55.00000000000001,48.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0882,M01586,0.88,80.0,35.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1152,M02057,0.5,50.0,56.00000000000001,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0883,M01587,0.31,27.0,74.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0883,M01588,0.69,74.0,27.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0884,M01589,0.43,49.0,52.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0884,M01590,0.5700000000000001,52.0,49.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0885,M01591,0.79,99.0,3.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0885,M01592,0.2099999999999999,3.0,99.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0886,M01593,0.43,46.0,55.00000000000001,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0886,M01594,0.5700000000000001,55.00000000000001,46.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0887,M01595,0.22,30.0,70.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0887,M01596,0.78,70.0,30.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0888,M01597,0.01,2.5,97.7,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0888,M01598,0.99,97.7,2.5,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0889,M01599,0.05,7.000000000000001,97.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0889,M01600,0.95,97.0,7.000000000000001,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0890,M01601,0.98,98.0,3.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0890,M01602,0.02,3.0,98.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0891,M01603,0.98,97.0,9.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0891,M01604,0.02,9.0,97.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0892,M01605,0.54,55.00000000000001,46.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0893,M01606,0.6,59.0,42.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0893,M01607,0.61,46.0,55.00000000000001,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0894,M01608,0.62,41.0,61.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0895,M01609,0.99,95.0,11.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0895,M01610,0.01,11.0,95.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0896,M01611,0.02,28.999999999999996,84.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0896,M01612,0.98,84.0,28.999999999999996,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0897,M01613,0.85,51.0,50.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0897,M01614,0.15,50.0,51.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E4556,M08783,0.32,61.0,40.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E4556,M08784,0.6799999999999999,40.0,61.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0898,M01615,0.09,17.0,88.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0898,M01616,0.91,88.0,17.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0899,M01617,0.34,41.0,62.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0899,M01618,0.6599999999999999,62.0,41.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E2636,M04883,0.12,42.0,61.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E2636,M04884,0.88,61.0,42.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0900,M01619,0.76,79.0,28.000000000000004,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0900,M01620,0.24,28.000000000000004,79.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0901,M01621,0.09,33.0,68.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0901,M01622,0.91,68.0,33.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0902,M01623,0.07,9.0,93.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0902,M01624,0.31,59.0,47.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0903,M01625,0.54,48.0,54.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0904,M01626,0.46,47.0,55.00000000000001,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1507,M02692,0.01,1.7000000000000002,99.4,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0905,M01627,0.01,8.6,96.8,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0905,M01628,0.99,96.8,8.6,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0906,M01629,0.77,88.0,19.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0906,M01630,0.82,96.0,7.000000000000001,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0907,M01631,0.14,80.0,29.45,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0908,M01632,0.04,22.0,89.7,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0908,M01633,0.96,89.7,22.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0909,M01634,0.12,31.0,73.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0909,M01635,0.88,73.0,31.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0910,M01636,0.05,6.72,94.2,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0911,M01637,0.001,0.1,99.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0911,M01638,0.999,99.9,0.1,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0970,M01746,0.01,0.4,99.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0970,M01747,0.99,99.9,0.4,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0912,M01639,0.01,0.3,99.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0913,M01640,0.01,0.8200000000000001,99.8,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0913,M01641,0.99,99.8,0.8200000000000001,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0914,M01642,0.01,1.0,99.5,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0914,M01643,0.99,99.5,1.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0971,M01748,0.01,0.8,99.7,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0971,M01749,0.99,99.7,0.8,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0972,M01750,0.001,1.0,99.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0972,M01751,0.999,99.9,1.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0915,M01644,0.41,59.0,46.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0916,M01645,0.55,48.0,54.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0917,M01646,0.37,45.0,56.00000000000001,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0918,M01647,0.43,53.0,50.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0919,M01648,0.56,54.0,48.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0920,M01649,0.46,55.00000000000001,53.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0921,M01650,0.56,47.0,54.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0973,M01752,0.52,53.0,49.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0922,M01651,0.14,19.0,82.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0922,M01652,0.86,82.0,19.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1392,M02486,0.03,6.0,95.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1508,M02693,0.001,0.43,99.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1508,M02694,0.999,99.9,0.43,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1509,M02695,0.88,84.0,18.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1509,M02696,0.12,18.0,84.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1510,M02697,0.002,0.5,99.8,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0923,M01653,0.98,99.5,0.6,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0923,M01654,0.02,0.6,99.5,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0924,M01655,0.04,4.3,96.8,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0924,M01656,0.96,96.8,4.3,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1153,M02058,0.01,0.8999999999999999,99.8,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1511,M02698,0.001,0.5,99.61,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0974,M01753,0.14,64.0,44.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0925,M01657,0.04,13.0,94.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0925,M01658,0.96,94.0,13.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0926,M01659,0.47,50.0,52.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0927,M01660,0.47,49.0,54.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0928,M01661,0.12,17.0,84.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0928,M01662,0.88,84.0,17.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0929,M01663,0.4,40.0,61.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0930,M01664,0.98,97.0,5.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0930,M01665,0.02,5.0,97.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0931,M01666,0.83,73.0,31.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0931,M01667,0.76,71.0,38.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0931,M01668,0.06,10.0,94.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0932,M01669,0.08,15.8,85.9,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0932,M01670,0.92,85.9,15.8,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0975,M01754,0.82,90.0,11.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0975,M01755,0.18,11.0,90.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0933,M01671,0.84,82.0,21.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0934,M01672,0.94,98.5,4.9,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0934,M01673,0.06,4.9,98.5,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0935,M01674,0.03,5.65,99.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0935,M01675,0.001,1.36,99.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0935,M01676,0.01,0.8999999999999999,99.8,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0936,M01677,0.01,0.3,99.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0936,M01678,0.98,99.1,1.97,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0937,M01679,0.98,99.0,2.88,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0937,M01680,0.02,7.1,99.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0938,M01681,0.69,78.0,24.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0938,M01682,0.31,24.0,78.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0939,M01683,0.3,31.0,70.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0939,M01684,0.7,70.0,31.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0976,M01756,0.77,82.0,21.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0976,M01757,0.2299999999999999,21.0,82.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1269,M02266,0.02,7.000000000000001,97.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0940,M01685,0.83,99.0,2.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0940,M01686,0.17,2.0,99.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0941,M01687,0.89,98.0,3.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0941,M01688,0.58,53.0,50.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0941,M01689,0.98,99.0,3.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0941,M01690,0.82,64.0,44.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0942,M01691,0.47,46.0,55.00000000000001,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0942,M01692,0.53,55.00000000000001,46.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0943,M01693,0.89,99.0,3.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0943,M01694,0.1099999999999999,3.0,99.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E4557,M08785,0.21,45.0,56.00000000000001,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E4557,M08786,0.79,56.00000000000001,45.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0944,M01695,0.41,45.0,56.00000000000001,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0944,M01696,0.5900000000000001,56.00000000000001,45.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0977,M01758,0.95,95.0,6.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0977,M01759,0.05,6.0,95.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0945,M01697,0.99,99.9,0.1,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0945,M01698,0.01,0.1,99.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1512,M02699,0.02,2.0,99.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1512,M02700,0.98,99.0,2.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0946,M01699,0.68,69.0,32.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0946,M01700,0.3199999999999999,32.0,69.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0947,M01701,0.99,99.3,3.5999999999999996,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0947,M01702,0.01,3.5999999999999996,99.3,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0978,M01760,0.78,90.0,95.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0979,M01761,0.44,31.0,72.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0979,M01762,0.56,72.0,31.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1513,M02701,0.001,0.8999999999999999,99.8,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0980,M01763,0.25,84.0,26.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0981,M01764,0.84,51.0,51.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0982,M01765,0.88,95.0,6.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0982,M01766,0.12,6.0,95.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1270,M02267,0.76,64.0,51.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1270,M02268,0.24,51.0,64.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0983,M01767,0.98,99.1,1.4,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0983,M01768,0.02,1.4,99.1,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0984,M01769,0.98,99.0,2.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0984,M01770,0.02,2.0,99.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0985,M01771,0.86,82.0,21.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0985,M01772,0.14,21.0,82.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E4558,M08791,0.24,76.0,38.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E4558,M08792,0.76,38.0,76.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0986,M01773,0.26,39.0,74.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0986,M01774,0.31,39.0,82.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0987,M01775,0.04,7.000000000000001,95.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0988,M01776,0.02,9.0,93.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0988,M01777,0.98,93.0,9.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E4559,M08793,0.99,2.0,99.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E4559,M08794,0.01,99.0,2.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0989,M01778,0.25,81.63,20.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0989,M01779,0.75,20.0,81.63,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0990,M01780,0.98,96.0,11.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0990,M01781,0.02,11.0,96.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0991,M01782,0.53,55.00000000000001,48.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0991,M01783,0.47,48.0,55.00000000000001,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0992,M01784,0.14,15.0,86.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0992,M01785,0.86,86.0,15.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0993,M01786,0.39,40.0,62.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0993,M01787,0.62,63.0,38.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0994,M01788,0.99,97.0,10.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0994,M01789,0.01,10.0,97.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0995,M01790,0.51,56.99999999999999,44.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0995,M01791,0.49,44.0,56.99999999999999,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0996,M01792,0.52,54.0,49.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0996,M01793,0.48,49.0,54.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0997,M01794,0.02,4.0,99.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E0997,M01795,0.98,99.0,4.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0998,M01796,0.89,95.76,8.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E0998,M01797,0.03,5.0,96.57,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E0999,M01798,0.81,73.0,63.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E0999,M01799,0.1899999999999999,63.0,73.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1000,M01800,0.02,16.0,90.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1000,M01801,0.98,90.0,16.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1001,M01802,0.08,6.0,95.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1001,M01803,0.92,95.0,6.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1002,M01804,0.01,2.0,99.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1002,M01805,0.99,99.0,2.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1003,M01806,0.62,59.0,42.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1003,M01807,0.38,42.0,59.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1004,M01808,0.97,96.0,17.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1004,M01809,0.03,17.0,96.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1005,M01810,0.89,92.0,9.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1005,M01811,0.1099999999999999,9.0,92.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1154,M02059,0.82,61.0,49.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1154,M02060,0.88,63.0,40.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1006,M01812,0.12,19.0,87.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1007,M01813,0.12,18.0,81.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1007,M01814,0.88,81.0,18.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1008,M01815,0.03,8.0,94.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1008,M01816,0.97,94.0,8.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1009,M01817,0.02,1.6,98.4,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1009,M01818,0.03,4.9,96.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1010,M01819,0.01,0.5,99.8,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1010,M01820,0.99,99.8,0.5,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1155,M02061,0.06,6.79,93.6,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1155,M02062,0.94,93.6,6.79,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1156,M02063,0.01,1.01,99.4,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1156,M02064,0.99,99.4,1.01,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1011,M01821,0.001,0.2,99.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1011,M01822,0.999,99.9,0.2,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1012,M01823,0.04,5.0,96.0,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1012,M01824,0.96,96.0,5.0,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1013,M01825,0.04,6.65,96.7,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1013,M01826,0.96,96.7,6.65,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1014,M01827,0.47,65.0,38.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1014,M01828,0.53,38.0,65.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1015,M01829,0.45,46.0,55.00000000000001,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1016,M01830,0.48,48.0,55.00000000000001,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1016,M01831,0.45,54.0,50.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1017,M01832,0.43,45.0,56.99999999999999,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1017,M01833,0.43,56.99999999999999,45.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1018,M01834,0.56,56.00000000000001,45.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1019,M01835,0.53,54.0,50.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1019,M01836,0.57,50.0,53.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1020,M01837,0.63,56.00000000000001,45.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1020,M01838,0.6,45.0,57.99999999999999,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1021,M01839,0.54,54.0,49.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1021,M01840,0.48,48.0,54.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1157,M02065,0.88,78.0,26.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1157,M02066,0.12,26.0,78.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1022,M01841,0.82,78.0,24.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1022,M01842,0.38,48.0,56.00000000000001,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1022,M01843,0.85,70.0,33.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1023,M01844,0.01,19.0,90.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1023,M01845,0.99,90.0,19.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1024,M01846,0.49,48.0,54.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1025,M01847,0.33,34.0,71.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1025,M01848,0.6699999999999999,71.0,34.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1026,M01849,0.52,31.0,74.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1514,M02702,0.96,96.0,85.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1393,M02487,0.21,17.0,85.0,0.0,Kalshi
Gemini 3.1 Pro (Variant B),E1393,M02488,0.79,85.0,17.0,1.0,Kalshi
Gemini 3.1 Pro (Variant B),E1027,M01850,0.96,98.3,1.71,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1027,M01851,0.04,1.71,98.3,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1028,M01852,0.001,0.2,99.9,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1028,M01853,0.999,99.9,0.2,1.0,Polymarket
Gemini 3.1 Pro (Variant B),E1029,M01854,0.01,7.000000000000001,98.8,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1030,M01855,0.01,3.0,99.26,0.0,Polymarket
Gemini 3.1 Pro (Variant B),E1030,M01856,0.99,99.26,3.0,1.0,Polymarket
